title,artist,album,language_id,scaled_vectorized_features_str
100 Mismunandi Vegu,Herra Hnetusmjör,KBE kynnir: Erfingi Krúnunnar,-2.0,"4.4497597712819275,2.8101506000465744,-2.0588325396341083,2.528555932336216,0.15306964490844457,0.0,2.793169633050635,4.703146124021712,-0.2769906204992498"
100 dni do matury,Mata,100 dni do matury,-2.0,"4.469276261506848,3.9979462144992497,-2.1876996938946176,4.640763297500606,1.8112086942786538,0.0,0.41518952226219524,5.577466366012402,-0.2769906204992498"
1000 DOMANDE,Vegas Jones,BELLARIA: GRAN TURISMO,-2.0,"4.352177320157324,2.9356899739318165,-2.301910283400177,1.492761935957525,0.32103068061114953,0.0,1.4680966896606498,5.580918869062025,-0.2769906204992498"
1000 Fragen,Bato,1000 Fragen,4.0,"2.556660219464616,2.317649979419855,-2.7651130374481463,3.990853338988486,0.8692416486882258,0.0,1.8761350246093118,6.269850159418454,0.5539812409984995"
1000 koni,"Bedoes, Kubi Producent",Kwiat polskiej młodzieży,9.0,"5.412573289044683,3.746867466728766,-2.4603671061282286,2.7722721667782615,0.8311473931680247,0.0,1.7667639245199798,4.885884669274444,1.246457792246624"
100Ms,Dave,100Ms,-2.0,"4.5798697061147315,3.5247593437010294,-1.8552998668106422,2.802736696083517,0.5229302348682155,0.0,3.1675553218179635,5.129268697388719,-0.2769906204992498"
10419,"Cro, Trettmann, KitschKrieg",10419,-2.0,"4.6319136800478535,3.500617156415406,-1.9343900086958479,3.0566077736273134,1.7350201832382515,0.0,3.2601000988166295,5.926413290401491,-0.2769906204992498"
110 (Prolog),LEA,110 (Prolog),-2.0,"3.2202208871119207,3.389563094901538,-1.5654870392033158,2.792581852981765,0.6926228276400206,0.0,1.0768846778026544,6.2908441678616125,-0.2769906204992498"
12 Bande,Varinder Brar,12 Bande,-2.0,"4.5928806995980125,3.3461071577874155,-1.5215173449384638,2.630104363353735,0.042596303899861264,0.0,3.525114687494626,4.944891085031623,-0.2769906204992498"
12 TIMER,TopGunn,SAS,-2.0,"4.651430170272774,2.303164667048481,-1.8481098539119873,2.721497951269502,1.610348074263048,0.0,2.414577363510639,5.398633682795608,-0.2769906204992498"
123 (feat. Yasin),Cherrie,123,-2.0,"3.486946253519171,3.085371535102682,-2.2941671925862406,2.315304227199427,0.16934628135798502,5.720945451093001E-5,1.7583507629746464,6.761082057973791,-0.2769906204992498"
13•13,"Jd Pantoja, Kim Loaiza",Tiempos,1.0,"4.0073859928503905,3.152969659502428,-1.3295993083359021,4.0517823975989975,1.9081758901482568,0.0,1.0558517739393212,6.623784032656998,0.1384953102496249"
1612,Vulfpeck,Fugue State,-2.0,"4.4107267908320855,1.8927474831928817,-3.132633312152475,2.782427009880013,0.6129712024614182,0.022985941544570093,2.9698460255026324,5.972969770919123,-0.2769906204992498"
187 Gang,"Bonez MC, Gzuz, Maxwell, LX, Sa4",Hollywood,-2.0,"4.827078582297061,2.689439663618457,-2.2206078298538467,3.3917175959851256,0.30129093002340895,0.018286593495457984,1.5648480474319821,6.066536090940702,-0.2769906204992498"
1991,Mois,1991,-2.0,"3.8512540710510246,3.3364502828731664,-1.889590697558074,3.3206336942728623,1.215553062508236,0.0,2.0443982555159765,5.641564351923569,-0.2769906204992498"
1991 Iddallaa,G. Oka,1991 Iddallaa,8.0,"5.763870113093256,4.022088401784873,-2.5618569035823207,3.4831111839008924,0.23064340160412689,1.0164894149709886E-4,2.725864340687969,4.600756740651098,1.107962481996999"
1998 (feat. Skítamórall),Logi Pedro,Litlir svartir strákar,-2.0,"4.651430170272774,3.650298717586272,-1.9653623719515927,2.630104363353735,0.21298151949930633,0.0,2.02757193242531,5.575164697312653,-0.2769906204992498"
1998 (mam to we krwi),"Bedoes, Lanek",Opowieści z Doliny Smoków,9.0,"4.690463150722616,3.1433127845881788,-2.2018031807342875,4.153330828616515,1.1151227525004332,0.0,0.959100416167989,5.187368395173271,1.246457792246624"
199x,"Nik Tendo, Decky",GoldKid,-2.0,"4.24808937229108,3.375077782530164,-2.7479676220744302,2.38638812891169,0.436352381413213,0.0,2.414577363510639,4.884664087388213,-0.2769906204992498"
1F344 på en Wednesday,"Frej Larsson, Bud Stankz",1F344 på en Wednesday,-2.0,"5.106814942187592,4.335936836497979,-1.8624898797092975,2.518401089234464,0.0640676115567019,0.0,2.2000417441046416,4.881734690861261,-0.2769906204992498"
1TIME 4EVER,KANDYTOWN,1TIME 4EVER,-2.0,"2.9404845272213906,3.7999802787571375,-1.7220080892278835,3.2190852632553435,0.022233192767244662,0.0,1.0558517739393212,5.938723730568325,-0.2769906204992498"
1szy Nos,Malik Montana,1szy Nos,9.0,"4.2936278494825615,2.6508121639614597,-1.8077351660964627,3.005833558118554,0.8380736214444249,0.0,1.918200832335978,5.0139062722558885,1.246457792246624"
1º MC Português,Valete,1º MC Português,21.0,"3.46092426655261,3.568215280815152,-1.4982880724966554,4.28534378893929,0.35323764209641045,0.0,1.3839650742073175,6.008087655474371,2.9084015152421228"
2 Cheene,Khan Bhaini,2 Cheene,-2.0,"3.610550691610336,3.582700593186526,-1.179438654337068,3.4018724390868775,0.3175675664729494,0.0,2.868888086958634,6.282404715962535,-0.2769906204992498"
2 MINUS 1 - Bonus Track,SEVENTEEN,SEVENTEEN 9th Mini Album Attacca,-2.0,"4.1895399016163175,3.862749965699759,-1.641535252554475,2.294994540995923,0.3670900986492109,0.0,3.4199501681779605,5.5755831825307895,-0.2769906204992498"
2.0,"Kabe, Kasta, Opiat",2.0,-2.0,"4.612397189822933,4.3262799615837295,-1.439385274519212,2.4777817168274567,2.1713725646514646,5.363386360399688E-6,2.603873498280637,4.7034599879353145,-0.2769906204992498"
"20 Lax (feat. Michel Dida, Jelassi, Ozzy)",Black Moose,"20 Lax (feat. Michel Dida, Jelassi, Ozzy)",-2.0,"3.6300671818352566,2.1872821680774885,-2.639840889636964,4.102556613107756,0.5921925176322177,0.0,1.8845481861546451,5.150332453368232,-0.2769906204992498"
20/30,"Die Buben, Scheibsta",Bubenhits ´16,-2.0,"5.0742874584793904,3.2640237210162963,-2.4158443339480953,4.376737376855057,1.5237702208080453,1.2974287005157341E-5,2.868888086958634,4.6083940958820815,-0.2769906204992498"
