title,artist,album,language_id,scaled_vectorized_features_str
1986 - Pensamos no Futuro Amanhã,Ana Bacalhau,1986 - Pensamos no Futuro Amanhã,21.0,"4.7880456018472195,2.066571231649371,-2.429394742872484,0.2934749656406291,0.9281145890376277,0.0023905379206352897,2.061224578606643,4.357826071523136,2.9084015152421228"
1986 - Quanto É Que Falta?,João Só,1986,21.0,"3.077099958795835,2.2741940423057327,-2.1182884155268327,0.2559020461641472,0.39133189761661163,0.0,0.8833819622599899,2.5452619704714796,2.9084015152421228"
2/10,sanah,Królowa dram,9.0,"2.7127921412639817,2.930861536474692,-1.6188590580279476,1.9700395617398634,1.579180047019247,2.3037021414669137E-5,1.1399833893926536,3.5073246131980222,1.246457792246624"
2017太空漫遊 (feat. 李英宏),"夜貓組 (Leo王+春艷), DJ Didilong",健康歌曲,16.0,"5.223913883537117,3.5440730935295286,-2.0657460135751227,1.4419877204487657,1.5272333349462455,0.0,1.9392337361993113,3.9386085042553733,2.215924963993998"
2020再出發,麋先生+任賢齊,2020再出發,16.0,"2.7388141282305427,2.7232387258183297,-2.4307774376606863,0.38385306924622076,0.014856759652878443,0.0,0.8749688007146565,4.479709891305254,2.215924963993998"
203 Stjórinn,Herra Hnetusmjör,203 Stjórinn,12.0,"5.0482654715128294,2.9550037237603153,-2.7971915565344534,0.975880422078355,0.1471823508735044,1.7826874664566583E-5,1.5606414666593154,5.023112947054882,1.6619437229954985"
20ตุลา,Silly Fools,20ตุลา,19.0,"3.200704396887,3.384734657444413,-1.3890551842286265,0.30159884012203064,1.9601226022212581,0.030750081799624882,0.9717201584859889,4.39336244129652,2.631410894742873"
24/48,Odeal,OVMBR: Roses,20.0,"4.443254274540287,2.515615915161968,-1.6393229408933503,3.351098223578118,0.505614664177215,0.0,0.6478134389906592,3.3624938539547795,2.769906204992498"
25コ目の染色体,RADWIMPS,RADWIMPS 3 ～無人島に持っていき忘れた一枚～,16.0,"4.072440960266793,2.858434974617821,-2.035326728234659,0.319877557705184,1.0008399859398296,1.4098044147336323E-5,1.0179925469853217,4.236500232031867,2.215924963993998"
"2kõik (feat. Arop, Genka, Beebilõust, Reket, Metsakutsu & Paul Oja)","Kõik Boyz, Beebiloust","2kõik (feat. Arop, Genka, Beebilõust, Reket, Metsakutsu & Paul Oja)",18.0,"4.6709466604976955,4.051059026527621,-0.9676098127843848,1.584155523873292,0.505614664177215,0.0,1.224115004845986,3.132640847893568,2.492915584493248"
