title,artist,album,language_id,scaled_vectorized_features_str
1 million de gourmandises (feat. Louka),Latelier de Roxane,1 million de gourmandises (feat. Louka),5.0,"5.698815145676854,1.9941446697925003,-2.296932582162646,0.7453654836685875,1.0389342414600309,0.0,2.9656394447299657,4.18704922875546,0.6924765512481245"
1 natt,Isah,sukkerspinn & hodepine (del 1),-2.0,"5.132836929154153,2.066571231649371,-2.8422674066298677,0.34729563407991404,1.942807031530258,0.0010011654539412752,1.9855061246986438,3.97637679519215,-0.2769906204992498"
1%,Stamp,1%,-2.0,"4.0854519537500735,2.7570377880182027,-2.0933999093391806,0.35541950856131554,1.9982168577414592,1.5528280510109576E-4,2.2000417441046416,4.04846087401608,-0.2769906204992498"
1+1 (feat. Heviteemu),s:su,1+1 (feat. Heviteemu),-2.0,"5.093803948704312,2.906719349189068,-1.9194569049832566,0.5199279668096959,0.9107990183466271,0.010062734409511796,2.0780509016973094,4.015156425406088,-0.2769906204992498"
1+1=Dos Enamorados,Izan Llunas,Luis Miguel La Serie (Soundtrack),1.0,"5.575210707585689,2.9984596608744374,-2.5875750266428943,0.48946343750444027,0.06856965993636205,0.0,2.2210746479679746,4.3955246149235565,0.1384953102496249"
"1,2,3","Amel Bent, Hatik","1,2,3",-2.0,"4.6969686474642565,2.399733416190975,-2.1511965514860614,0.6417860840307184,2.656208543999479,0.0,2.8773012485039673,5.154133694099635,-0.2769906204992498"
1.00 Am - Remix,"Harry Nach, Shita, Shielo, Mati Drugs",1.00 Am (Remix),-2.0,"4.833584079038701,3.4475043443870343,-1.6990553557437154,0.6570183486833461,1.3194464866542392,1.8031194144962762E-4,1.9350271554266445,3.4844474212732526,-0.2769906204992498"
10 000 timmar,Molly Sandén,DOM SKA VETA,7.0,"5.145847922637434,2.8680918495320706,-1.8163078737833207,1.117032741192706,1.6692210146124495,0.0,1.993919286243977,4.529997865017932,0.9694671717473742"
"10,000ft","Jason Chan, Kiri T.","10,000ft",-2.0,"4.6709466604976955,2.399733416190975,-2.471981742349133,0.7311487033261348,1.7350201832382515,5.465546100597777E-4,1.7667639245199798,3.6363924292248075,-0.2769906204992498"
100 Like Me,Stephanie Rainey,100 Like Me,-2.0,"5.0222434845462685,2.4721599780478454,-1.9581723590529376,0.43462728475498014,1.6899996994416502,1.3536165576246833E-5,2.275760198012641,3.2942807633986075,-0.2769906204992498"
100 Mill,Mårdha,100 Mill,-2.0,"4.7490126213973785,3.085371535102682,-1.6542560446059418,0.7098235328124559,2.0951840536110624,8.428178566342368E-6,1.6910454706119806,4.531148699367806,-0.2769906204992498"
100 Preguntas,Ozuna,100 Preguntas,1.0,"4.9962214975797075,2.2307381051916106,-1.6335156227828982,0.37471371045464413,2.3860856412198705,0.0,2.544981367463304,3.627150880657637,0.1384953102496249"
100 Thousand,Navvy,100 Thousand,0.0,"4.391210300607165,2.7039249759898314,-2.4374143726440605,1.1881166429049692,0.6164343165996183,0.0,2.275760198012641,2.9612014035305103,0.0"
100%,"Senidah, RAF Camora",100%,-2.0,"5.581716204327329,3.2591952835591713,-2.445434002415637,1.0124378572446617,1.1670694645734347,7.202261683965296E-5,2.566014271326637,4.010832078152016,-0.2769906204992498"
1000 Mil,Roffe Ruff,1000 Mil,-2.0,"5.620749184777171,2.3949049787338503,-2.760411875168256,0.4315808318244546,2.749712625730882,0.08377098696243324,4.071970187941287,4.4973908917715,-0.2769906204992498"
1000 leguas,Brock Ansiolitiko,Maravilloso error,1.0,"4.8010565953305,3.7323821543573916,-2.219225135065644,0.8966726458846903,2.289118445350268,0.07815220125153832,1.4849230127513162,4.462447376057142,0.1384953102496249"
1001 (Youre Lovely),SERIOUS BACON,1001 (Youre Lovely),-2.0,"4.4107267908320855,2.747380913103953,-2.516781053486907,0.3239394949458847,2.469200380536673,0.0,1.6826323090666475,3.312833608069305,-0.2769906204992498"
11 Y 6,Fito Paez,Giros,-2.0,"4.6839576539809755,1.5692421735655269,-4.679592241193872,0.3239394949458847,0.2618114288479278,0.0,1.3376926857079847,3.5327127164316074,-0.2769906204992498"
12 בלילה,Roni Dalumi,12 בלילה,-2.0,"4.54734222240653,2.7280671632754543,-1.9661919888245145,0.8905797400236392,0.8207580507534243,0.0,2.0570179978339764,4.394443528110038,-0.2769906204992498"
13,LANY,LANY,-2.0,"5.106814942187592,2.6218415392187113,-2.249367881448467,0.6935757838496529,2.496905293642274,9.092216877629948E-5,3.0371513178652982,4.671724858893333,-0.2769906204992498"
151,Pasha,151,-2.0,"4.7360016279140975,1.8444631086216348,-4.124578553209231,1.8786459738240964,0.2749712625730882,0.0,2.6164932405986367,3.2100606132487326,-0.2769906204992498"
1517,The Whitest Boy Alive,Rules,-2.0,"5.100309445445951,2.6025277893902126,-2.122713038849082,0.41228662993112597,1.0978071818094326,1.9257111027339835,4.046730703305287,4.273082814850591,-0.2769906204992498"
16 Grados,"Gian, Franux BB",16 Grados,-2.0,"5.191386399828915,1.979659357421126,-2.456772099678901,1.0865682118874502,0.9246514748994276,0.0,0.8118700891246574,3.487167575191137,-0.2769906204992498"
"16,437 Días",Reyli Barba,"16,437 Días",1.0,"4.742507124655738,2.2935077921342315,-2.1893589276404612,0.30159884012203064,1.3436882856216399,5.82310519129109E-5,1.3376926857079847,3.347811997551841,0.1384953102496249"
16v,"Cavallini & Shrty, Gettomasa",10/10,-2.0,"5.262946863986958,3.0322587230743103,-2.7924903942545636,1.0561036825821948,0.8103687083388241,0.0,2.157975936377975,3.2439927896859286,-0.2769906204992498"
17 Años,Los Ángeles Azules,Una Lluvia De Rosas,1.0,"4.8010565953305,2.332135291791229,-2.515674897656344,0.5341447471521485,1.6172743025394483,0.0,3.2558935180439628,3.1714553518756845,0.1384953102496249"
1700 vindstig,Karl Örvarsson,Eldfuglinn,-2.0,"4.3326608299324025,1.83963467116451,-3.726085915249157,0.28535109115922763,0.4536679521042135,0.0,2.7216577599153022,4.531357941976875,-0.2769906204992498"
1944,Jamala,1944,-2.0,"5.262946863986958,2.4431893533050975,-1.4476814432484295,0.5737486352489808,2.0640160263672613,0.03718614543210451,1.9770929631533105,4.185270666578382,-0.2769906204992498"
1955,"Hilltop Hoods, Montaigne, Tom Thum","Drinking From The Sun, Walking Under Stars Restrung",0.0,"4.983210504096427,2.414218728562349,-2.090081441847494,0.7057615955717552,2.489979065365874,3.018820322853539E-5,2.986672348593299,2.9309309727520043,0.0"
1998,Chet Faker,Built On Glass,-2.0,"5.100309445445951,1.8637768584501335,-3.621830728218659,0.7829384031450694,1.1913112635408354,2.089166687050926,2.0906706440153093,3.486923458813891,-0.2769906204992498"
1999 - Edit,Prince,The Very Best of Prince,-2.0,"5.731342629385055,2.7135818509040806,-3.0339089042747887,0.5229744197402214,0.9177252466230273,8.274938956045234E-5,3.007705252456632,4.15562796362708,-0.2769906204992498"
1var1yok,Patron,1var1yok,-2.0,"5.555694217360768,2.5349296649904667,-2.5889577214310977,0.5503924961149514,0.13332989432070397,0.0,1.312453201071985,4.325498088422128,-0.2769906204992498"
2,"Mom Tudie, Byulah",2,-2.0,"5.399562295561402,2.2355665426487352,-2.4061654704306754,2.0208137772486228,1.246721089752037,0.002753204998338507,3.239067194953296,3.837404829002812,-0.2769906204992498"
2 5,Táo,2 5,-2.0,"5.217408386795476,1.8975759206500065,-3.6550154031355286,0.5442995902539004,2.711618370210681,0.056187857108949114,1.7751770860653129,4.009995107715744,-0.2769906204992498"
2 Become 1,Spice Girls,Spice,0.0,"4.202550895099598,3.2109109089879246,-2.1785739082924787,0.2721497951269502,1.1289752090532337,1.0062734409511797E-4,2.9446065408666326,5.020636909514243,0.0"
2 Glass,Isah,2 Glass,-2.0,"4.313144339707482,2.9984596608744374,-1.7822935819935297,0.4488440650974328,1.6034218459866478,2.8604727255465006E-5,2.414577363510639,3.310776055746803,-0.2769906204992498"
2 Por 3 (Ft. Carlitos Rossy),Tommy Boysen,2 Por 3 (Ft. Carlitos Rossy),-2.0,"5.419078785786323,2.032772169449498,-2.337307269978171,1.0561036825821948,0.19324176891156575,4.321357010379178E-5,1.2872137164359851,3.6266975216713235,-0.2769906204992498"
2 Quick Start,nublu,Mind on Mitu,-2.0,"5.002726994321348,2.1196840436777427,-2.02149978035263,1.4826070928557733,1.2640366604430375,0.0,3.0161184140019652,5.5117990605332245,-0.2769906204992498"
2 Real,Chrystal,2 Real,-2.0,"4.274111359257641,2.177625293163239,-2.058279461718827,1.3810586618382548,0.976598186972429,0.0,2.8773012485039673,2.9302683711566226,-0.2769906204992498"
2 da Matina,Plutónio,Trilogia Pão Na Mesa,-2.0,"5.724837132643415,2.254880292477234,-2.314354536494003,0.6468635055815943,1.6865365853034502,1.3893724666940146E-4,3.0581842217286317,4.777950356763527,-0.2769906204992498"
20 (feat. 王心凌),"Ty., Cyndi Wang",20 (feat. 王心凌),-2.0,"5.484133753202726,1.7768649842218889,-4.214177175484779,2.325459070301179,1.8977865477336566,0.0,1.6447730821126478,3.627464744571239,-0.2769906204992498"
20 Questions - From Bergman’s Reliquary,Veronica Maggio,20 Questions (From Bergman’s Reliquary),-2.0,"4.202550895099598,3.085371535102682,-1.4916511375132815,1.1474972704979616,1.2848153452722382,5.363386360399688E-5,2.157975936377975,3.8406829632115436,-0.2769906204992498"
"20 Something (PROD. Jung Dong Hwan, JEONG SEWOON)",JEONG SEWOON,ANOTHER,0.0,"4.124484934199915,2.414218728562349,-1.6097332724258084,0.39705436527849824,1.4060243401092418,0.0,2.4187839442833052,3.5114745916112047,0.0"
20 minuter,HON,20 minuter,-2.0,"4.9701995106131465,2.351449041619728,-2.313524919621081,0.9748649377681797,1.2605735463048375,0.0,1.001166223894655,4.847453776742285,-0.2769906204992498"
2001,"Mata, Maurycy Żółtański",Młody Matczak,9.0,"3.9878695026254696,1.873433733364383,-2.1310092075782996,0.5371912000826741,2.808585566080284,0.0,2.7090380175973023,2.7186543458525056,1.246457792246624"
202 feat. 泉まくら - New Mix,Lovely Summer Chan,LSC,-2.0,"5.165364412862354,2.4190471660194737,-2.4437747686697935,0.36151241442236665,1.8215980366932543,0.0056698655809939566,2.2799667787853073,3.1390924950064987,-0.2769906204992498"
2020 (#zostańwdomu),B.R.O,2020 (#zostańwdomu),-2.0,"4.5148147386983295,3.7565243416430154,-1.4764414948430498,0.4600143925093598,1.9462701456684581,3.723722530220355E-5,2.0696377401519763,3.8341615685622576,-0.2769906204992498"
2020 (feat. ClubDub & Valdimar Guðmundsson),Auður,AFSAKANIR,-2.0,"5.067781961737751,2.221081230277361,-2.1340511361123458,1.0662585256839465,1.4406554814912427,0.0,3.5924199798572922,4.32424263276772,-0.2769906204992498"
2020 (feat. Lu1),"Dizkar, 路壹",Search For Nothing,0.0,"4.820573085555421,2.8053221625894493,-2.1818923757841655,0.6428015683408934,0.7965162517860237,2.6306133101007997E-5,2.61228665982597,3.1382903983384045,0.0"
2020 (feat. Slow J),Lhast,2020 (feat. Slow J),-2.0,"4.170023411391397,2.732895600732579,-1.5461293121684754,1.6857039548908108,2.185225021204265,0.0,1.7331112783386466,4.304015847224479,-0.2769906204992498"
