title,album,language_id
The Greatest (feat. Kendrick Lamar),This Is Acting (Deluxe Version),0.0
Ride,Blurryface,0.0
Mi tesoro (feat. Nicky Jam),Motivan2,1.0
743,Fuerte,1.0
Dame la Mano,Dame la Mano,1.0
Love Yourself,Purpose (Deluxe),0.0
Una historia,#Tocoparavos,1.0
La Llave,Sigue Y Sigue,1.0
De Pies A Cabeza,De Pies A Cabeza,1.0
Me Estoy Enamorando,De Bailadeta,1.0
Ella,Ella,1.0
This Is What You Came For (feat. Rihanna),This Is What You Came For,0.0
Andas En Mi Cabeza - Remix,Andas En Mi Cabeza (Remix),1.0
This Girl (Kungs Vs. Cookin' On 3 Burners),Layers,0.0
Yo Tomo Licor,Lo Mejor De Lo Mejor,1.0
Hoy,De Bailadeta,1.0
Sorry,Purpose (Deluxe),0.0
No Te Vayas,Todo Comenzó Bailando,1.0
Un Beso,Un Beso,1.0
Hoy Acá en el Baile (Cara de Gitana) - Versión el Pepo,Libre,1.0
Fanática Sensual,Love and Sex,1.0
Trumpets,Trumpets (Remixes),0.0
"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]",Sola (Remix),1.0
Heathens,Heathens,0.0
Ocho Cuarenta,Cuarteteando,1.0
El Taxi,Dale,1.0
The Mack,The Mack,0.0
Que Bonito,Los Verdugos De La Mufa,1.0
El chisme,El Chisme,1.0
Hymn for the Weekend - Seeb Remix,A Head Full of Dreams Tour Edition,0.0
Acércate (feat. Nicky Jam) - Remix,Acércate (feat. Nicky Jam) [Remix],1.0
Si ella quisiera,La Promesa,1.0
El Bombón,Un Sentimiento,1.0
Hello,Hello,1.0
Cuando Me Enamoro,Sin Limites,1.0
Yo tambien,De Fiesta,1.0
Soy Cordobes,Soy Cordobes,1.0
Linda,Linda,1.0
Nunca me Faltes,El Maestro,1.0
Segundas Intenciones,De Fiesta,1.0
La Ventanita,Boquita de Caramelo,1.0
Chica Real,Sangre Nueva,1.0
Pierde Los Modales,Energía,1.0
Una Cita - Remix,Una Cita (Remix),1.0
743,Fuerte,1.0
Olvídala,Ven Pa' La Rumba,1.0
La Cumbita,Grandes Exitos,1.0
Si me dices que sí (feat. Nicky Jam),Blanco Perla,1.0
Otra copa (feat. Farruko),La Promesa,1.0
Hola,Picky Back To The Roots,0.0
No Me Olvides,Historias,1.0
Adios,De Fiesta,1.0
Acá Estoy,Acá Estoy,1.0
Stressed Out,Blurryface,0.0
Si Ella Quisiera - Remix,Si Ella Quisiera (Remix),1.0
Amores Como el Nuestro,corazon de papel,1.0
Taste Of Love,Last Call,0.0
Que Raro,Que Raro,1.0
Te busco (feat. Nicky Jam),Blanco Perla,1.0
