title,artist,album,language_id,scaled_vectorized_features_str
11 Besos,Morat,Balas Perdidas,1.0,"4.820573085555421,0.9222315543108174,-2.7319283625312765,0.4579834238890095,2.777417538836483,0.0,1.4765098512059829,3.9256354624931564,0.1384953102496249"
12:45 - Stripped,Etham,12:45 (Stripped),0.0,"2.986023004412872,1.0332856158246855,-2.9479052884485686,0.4092401770006005,2.195614363618865,0.0,1.6700125667486476,5.712881207847584,0.0"
12:51,krissy & ericka,Twelve: Fifty One (International Version),0.0,"3.272264861045043,1.7237521721935172,-2.5884046435158163,0.2762117323676509,2.517683978471475,0.0,1.842482378427979,4.747540430912308,0.0"
13 (There is A Light),U2,Songs Of Experience (Deluxe Edition),0.0,"1.8150335909176283,0.9656874914249397,-4.426006017037461,0.3767446790749945,2.8155117943566834,0.00791737986535192,0.530029177355994,6.63839614152358,0.0"
150 сантиметров,алёна швец.,150 сантиметров,3.0,"3.148660422953878,1.2553937388524217,-3.9428924580393705,0.558516370596353,3.196454349558695,0.00276852895936822,1.6826323090666475,3.5666797666369816,0.41548593074887463"
16.03.23,Abii,Vinegar,-2.0,"3.5259792339690126,0.5456134326550909,-3.5988779947344907,0.4640763297500605,2.9505732457464875,5.4655461005977774E-5,0.5089962734926609,1.971204872493388,-0.2769906204992498"
17 Miljoen Mensen - Live @538 in Ahoy,"Davina Michelle, Snelle",17 Miljoen Mensen (Live @538 in Ahoy),-2.0,"3.20720989362864,1.549928423737028,-2.7767276736690505,0.4082246926904253,2.4761266088130736,0.0,2.136943032514642,3.0259968648052378,-0.2769906204992498"
17. Mai Sang For De Små,Anne Brændeland,"Barnesanger av Thorbjørn Egner, Alf Prøysen og Margrethe Munthe",7.0,"5.191386399828915,1.2747074886809204,-2.922187165387995,0.3676053202834178,2.8466798216004845,0.0,1.8845481861546451,3.388335316174679,0.9694671717473742"
19 (feat. Gustavo Cerati),Emmanuel Horvilleur,Mordisco,-2.0,"4.501803745215049,1.168481864624177,-2.5884046435158163,0.31276916753395767,2.251024189830067,0.025897494140215638,1.1063307432113207,4.884210728401899,-0.2769906204992498"
19 Andetag,Max John Avalon,19 Andetag,7.0,"2.745319624972183,0.989829678710563,-2.7678784270245522,0.3158156204644832,3.0406142133396905,2.1249225961202575E-5,0.8329029929879905,5.359435567363533,0.9694671717473742"
20 år på vegen,"Odd Nordstoga, Hver gang vi møtes",Aslag Haugens dag (Sesong 9),7.0,"2.875429559804988,0.9318884292250668,-3.3851133804783236,0.35541950856131554,3.1722125505912944,0.0,2.284173359557974,5.522470433595692,0.9694671717473742"
2000 kilometer,Stephanie Struijk,2000 kilometer,-2.0,"2.6217151868810187,1.0912268653101818,-3.1105101955412287,0.314800136154308,3.289958431290098,0.006078504541786314,1.749937601429313,5.893039094255142,-0.2769906204992498"
2002 - Acoustic,Amber Leigh Irish,"Unplugged Acoustic, Vol. 2",0.0,"3.8577595677926646,1.4292174873089105,-2.5803850137442397,0.8723010224404859,2.919405218502687,0.0,2.5491879482359705,5.7826636179717665,0.0"
21 Years Old,HillopGonzales,Friend Zone,-2.0,"2.699781147780701,1.1781387395384264,-3.791072570294693,0.384868553556396,1.3436882856216399,0.4837263698379529,1.3713453318893176,5.039956977084857,-0.2769906204992498"
"214 - Recorded at Kodama Studios, Philippines",Sarah Geronimo,Spotify Jams: OPM Love Songs,0.0,"2.1923524019327623,0.608383119597712,-3.361054491163593,0.35846596149184107,3.130655180932893,0.006487143502578671,0.5510620812193271,4.866669223008364,0.0"
21:00,Sofian Medjmedj,21:00,-2.0,"4.833584079038701,1.7768649842218889,-3.0491185469450204,0.4600143925093598,2.926331446779087,0.0,1.5185756589326491,3.3092067361787927,-0.2769906204992498"
21:4,Mads Langer,21:4,-2.0,"3.8837815547592256,2.298336229591356,-2.605826597847173,0.2619949520251983,2.5523151198534757,0.0042191972701810885,0.6099542120366597,3.418291883039583,-0.2769906204992498"
22:40,"JóiPé, Króli",22:40-08:16,-2.0,"4.827078582297061,1.0912268653101818,-4.240724915418274,1.7669426997048256,2.718544598487081,0.022219743493084424,0.9464806738499891,3.4865049735957547,-0.2769906204992498"
22才の別れ,Kaze,ISE SHOZO ALL TIME BEST～Then&Now～,-2.0,"3.565012214418854,2.1727968557061144,-2.3879138992263966,0.31073819891360727,2.6977659136578804,0.0012718887654662118,2.359891813465973,4.72937119769157,-0.2769906204992498"
241 (From the movie 100 Tula Para Kay Stella),Janine Teñoso,241 (From the movie 100 Tula Para Kay Stella),-2.0,"2.2443963758658843,1.1877956144526758,-2.1799566030806816,0.30159884012203064,2.929794560917287,0.0,0.7151187313533252,5.007454625142958,-0.2769906204992498"
26,Paramore,After Laughter,0.0,"3.6495836720601775,1.3809331127376636,-3.018975800562197,0.2701188265065998,2.9505732457464875,1.8184433755259895E-4,1.7204915360206468,3.138778631092897,0.0"
2653,Kristin Sesselja,Freckles,-2.0,"3.0445724750876346,1.694781547450769,-1.7153711542445096,0.319877557705184,2.929794560917287,0.0,1.9350271554266445,4.292089018507602,-0.2769906204992498"
29 #Strafford APTS,Bon Iver,"22, A Million",-2.0,"1.9776710094586343,1.105712177681556,-4.059038820248414,0.3351098223578118,3.3626838281922997,2.084058700041022,0.6520200197633259,2.794016558885168,-0.2769906204992498"
29 settembre,Lucio Battisti,Lucio Battisti,6.0,"3.0445724750876346,1.8927474831928817,-2.92467601600676,0.2792581852981765,2.5072946360568746,0.0,1.7036652129299805,3.150042858214391,0.8309718614977493"
2:00,sanah,Irenka,-2.0,"3.9098035417257866,0.5890693697692132,-3.229975025241959,0.4061937240700749,3.0787084688598916,0.003636886751051979,0.8917951238053231,4.174320303370489,-0.2769906204992498"
2:43 am,Ultimo,Solo,-2.0,"2.986023004412872,1.1250259275100547,-2.6998498434449694,0.3879150064869215,2.9401839033318873,0.0,1.0516451931666546,6.148489446159007,-0.2769906204992498"
2U - Acoustic Version,Clementine Duo,2U (Acoustic Version),-2.0,"4.274111359257641,0.9270599917679421,-3.6248726567527054,0.3706517732139433,3.0960240395508922,0.0,1.2830071356633186,4.536623880971752,-0.2769906204992498"
2da Parte (Intro),Shadow Blow,2da Parte,-2.0,"2.8363965793551467,1.168481864624177,-3.0151042551552294,0.3818221006258704,3.130655180932893,8.326018826144278E-6,2.2336943902859745,2.7971551980211884,-0.2769906204992498"
3 (Moonu) Mash-Up by Saumi,Saumi Music,Saumi Music,-2.0,"4.1895399016163175,0.2621841539218711,-5.078914496026868,0.38385306924622076,3.2484010616316965,0.0,1.9350271554266445,3.4843776737368968,-0.2769906204992498"
