_c0,title,artist,album,af_danceability,af_energy,af_loudness,af_speechiness,af_acousticness,af_instrumentalness,af_valence,af_tempo
498697,Clarity,"Zedd, Foxes",Clarity,0.509,0.781,-3.48,0.072,0.0398,0.0,0.176,128.0
6499714,Clasing Heights,SusanCarter,Clasing Heights,0.55,0.343,-15.424,0.0542,0.99,0.889,0.198,83.996
9015535,Clean Up,"Chunkz, Yung Filly",Clean Up,0.549,0.855,-4.464,0.109,0.269,0.0,0.845,75.446
23878308,Clear As Water - Hidden Jazz Quartett remix,Una Mas Trio,Clear As Water,0.845,0.344,-12.2,0.0715,0.282,0.0141,0.68,112.001
12818772,Clearly - Acoustic Version,Limbo,Clearly (Acoustic Version),0.783,0.106,-17.4,0.17,0.795,0.0,0.435,131.816
24073172,Cleptocracia,"García MC, Gatopersa",Cleptocracia,0.861,0.793,-7.225,0.242,0.0766,0.0,0.394,96.969
12391069,Clichè (feat. Fabri Fibra),Tommy Kuti,Italiano Vero,0.677,0.698,-7.576,0.0422,0.0148,0.0,0.259,124.994
23384828,Climax Night,Yogee New Waves,PARAISO,0.723,0.615,-7.477,0.0261,0.574,0.0767,0.734,91.99
5256807,Climaxxx,Dalex,Climaxxx,0.743,0.565,-7.14,0.207,0.878,0.0,0.944,129.679
22114804,"Closed Hand, Full Of Friends",Foy Vance,Joy Of Nothing,0.509,0.686,-6.079,0.0436,0.0329,3.17e-06,0.446,130.934
23501343,Closedown - Remastered 2010,The Cure,Disintegration (Deluxe Edition),0.521,0.755,-7.223,0.0272,0.319,0.769,0.617,93.986
21062207,Closely,Beyries,Encounter,0.585,0.373,-12.482,0.0349,0.8,0.00107,0.235,147.831
22061235,Closely Far Away,"Car, the garden",Closely Far Away,0.602,0.389,-7.099,0.0242,0.373,0.0,0.169,93.037
12477512,Closer (with YAN),RADIOZOO,Closer (with YAN),0.69,0.483,-7.486,0.0452,0.27,5.95e-05,0.629,110.066
12529037,Closer Still,Paul Freeman,Closer Still,0.467,0.396,-9.881,0.036,0.642,0.0,0.334,144.033
214212,Closer Than Close (feat. BB Diamond),"Freejak, Safety First",Closer Than Close (feat. BB Diamond),0.845,0.788,-4.278,0.0531,0.137,8.47e-05,0.657,123.988
462827,Closer To You,MAKTUB,"School 2017, Pt. 5 (Original Television Soundtrack)",0.576,0.427,-6.494,0.027,0.706,1.8e-05,0.179,111.944
21282992,Closer to You (feat. Jnna),Tyzo Bloom,Closer to You (feat. Jnna),0.541,0.744,-5.882,0.0315,0.269,1.07e-06,0.0789,90.001
15795971,Closure,Pamungkas,Solipsism,0.575,0.516,-7.674,0.0447,0.834,2.64e-05,0.269,138.011
12545917,"Closure, Unrequited",Brian Bradley,"Closure, Unrequited",0.42,0.373,-9.372,0.0392,0.789,0.0712,0.233,98.41
10434621,Clothes Off (Nanana),Darius & Finlay,Clothes Off (Nanana),0.625,0.741,-6.818,0.0489,0.00903,0.0,0.212,105.987
23989346,Cloud & Wind,Trinix,Cloud & Wind,0.74,0.631,-8.439,0.0363,0.487,0.484,0.138,98.05
20288070,"Clouds, The Mind on the (Re)Wind",Ezio Bosso,And the Things that Remain,0.207,0.193,-16.716,0.0439,0.986,0.889,0.0345,99.761
459027,Club Ki3ε,SawanoHiroyuki[nZk]:Gemie,2V-ALK,0.699,0.926,-4.293,0.0577,0.0922,9.12e-05,0.752,109.96
19205545,Clutch Baliye,"Sultaan, Gagan",Clutch Baliye,0.693,0.569,-9.153,0.279,0.0049,0.0,0.429,179.757
12623715,Co By Tu Jeszcze,Maciej Maleńczuk,Maleńczuk Gra Młynarskiego,0.79,0.56,-9.782,0.0597,0.355,3.27e-05,0.869,91.036
12976143,"Co Gai M52 - HuyR , Tung Viu - Original",HuyR,"Co Gai M52 - HuyR , Tung Viu (Original)",0.965,0.636,-9.382,0.0854,0.215,0.0,0.954,109.987
3724144,Co Mówimy ?,Dawid Podsiadło,Małomiasteczkowy,0.645,0.586,-7.168,0.028,0.067,0.000185,0.337,87.989
6950251,Co sudicky praly nam,"Lucie Bílá, Karel Gott",Platinum Collection,0.232,0.662,-9.925,0.0387,0.0737,0.0,0.336,172.906
24429354,Co to ten slavíček,Dětský sbor Camerata,"Vánoční koledy, Vol. 2 (Pokoj lidem dobré vůle)",0.831,0.308,-8.991,0.0729,0.54,0.0,0.943,104.23
11902663,Coach Je Vriendin,Zoë-Jadha,Coach Je Vriendin,0.907,0.697,-5.005,0.239,0.715,0.0,0.824,131.093
21255333,Cobarde (Ya No Voy a Llorar),Dopamina,Cobarde (Ya No Voy a Llorar),0.702,0.857,-5.602,0.171,0.16,0.0,0.797,93.985
12432098,Cobrastyle,Teddybears,Fresh,0.623,0.95,-2.316,0.186,0.329,0.0,0.793,176.809
9459612,Cockblock,Jimilian,Cockblock,0.838,0.705,-6.86,0.0627,0.234,5.98e-06,0.683,116.022
21181429,Coco Câline,Julien Doré,&,0.79,0.596,-8.242,0.0299,0.486,0.000303,0.894,116.022
12972237,Coco Made Me Do It,"Lexie Liu, nafla",Coco Made Me Do It,0.702,0.808,-5.707,0.165,0.0105,0.0,0.92,148.068
14008522,Coco y Miel,Piwaiti,Coco y Miel,0.77,0.572,-8.834,0.0488,0.0552,3.5e-05,0.625,94.962
22064388,Cod Rosu,YNY Sebi,Cod Rosu,0.776,0.821,-7.434,0.151,0.721,8.52e-06,0.783,87.464
14746143,Code Mumbai 17,"MC Altaf, DRJ Sohail",Code Mumbai 17,0.741,0.691,-6.495,0.317,0.00108,0.0,0.649,96.783
11051605,Coffee (LH x KW),"Lu Han, Kris Wu",Coffee (LH x KW),0.769,0.595,-5.926,0.0416,0.0447,0.0,0.326,95.014
19805455,Coffee Cup,Anthony Lazaro,Rock Paper Scissors,0.75,0.284,-12.079,0.0766,0.899,0.000109,0.593,119.962
15872323,Coin,IU,IU 5th Album 'LILAC',0.725,0.879,-3.351,0.101,0.00849,1.25e-06,0.71,118.092
21751882,Coisa de Casa,OUTROEU,Coisa de Casa,0.63,0.633,-5.87,0.0324,0.435,0.0,0.143,114.993
15255151,Coisas Na Life,Plutónio,Trilogia Pão Na Mesa,0.845,0.563,-8.695,0.0771,0.233,0.0,0.302,124.055
20400880,Cola 24/7,"Niki Topgaard, Chief 1",Cola 24/7,0.769,0.783,-6.114,0.181,0.158,0.0,0.686,89.966
23330046,Cold Ain't For Me,Oceans,Cold Ain't For Me,0.643,0.84,-3.423,0.031,0.00212,0.0,0.356,105.027
21592782,Cold Beer Calling My Name,"Jameson Rodgers, Luke Combs",Bet You're from a Small Town,0.585,0.863,-4.061,0.0401,0.0446,0.0,0.788,147.931
21523080,Cold Blooded,Jessi,Cold Blooded,0.961,0.739,-6.665,0.224,0.0794,0.0,0.759,119.96
9922844,Cold Little Heart - Radio Edit,Michael Kiwanuka,Cold Little Heart (Radio Edit),0.638,0.574,-6.115,0.0263,0.316,0.000316,0.681,110.256
23315122,Cold Winter Sun,Demon Hunter,Outlive,0.52,0.946,-3.311,0.138,7.85e-05,0.0703,0.408,114.997
17254569,Cold as Ice,DARA,Cold as Ice,0.664,0.752,-6.27,0.116,0.00841,0.0,0.729,160.09
12616707,Cold as Stone (feat. Charlotte Lawrence),Kaskade,Cold as Stone (feat. Charlotte Lawrence),0.504,0.64,-3.977,0.0402,0.586,0.0,0.436,129.924
21574422,Coldplay,"Cali Y El Dandee, Aitana",Coldplay,0.691,0.81,-3.996,0.134,0.078,0.0,0.675,152.084
2090128,Colgando - Radio Edit,Neya,Te Espero,0.518,0.494,-9.183,0.0326,0.582,3.1e-06,0.447,149.448
15798135,Colgando en tus manos (con Marta Sánchez),Carlos Baute,De mi puño y letra - Edicion Coleccionista,0.836,0.637,-4.803,0.0367,0.535,0.0,0.875,120.025
2073562,Collide - Radio Edit,"Leona Lewis, Avicii",Collide (Radio Edit),0.595,0.745,-2.053,0.0259,0.0717,1.71e-06,0.459,124.993
13659373,Collin' el Blat,"Lildami, Flashy Ice Cream, Enry-K",10 Vos Guard,0.69,0.798,-3.687,0.0584,0.263,0.0,0.785,149.905
13388942,Collision Wall,UMEK,Collision Wall,0.763,0.894,-8.483,0.0657,0.068,0.931,0.341,126.004
20305172,Cologne - Single Version,Alec Wigdahl,Cologne,0.726,0.511,-8.75,0.0826,0.089,0.0234,0.598,140.973
342579,Colonoscopía - Que no parte 1,Mojinos Escozios,Los novios que las madres nunca quisieron para sus hijas... y el novio que las hijas nunca quisieron para sus madres,0.53,0.811,-4.067,0.0451,0.00685,2.06e-06,0.385,128.005
15814442,Color,DI-RECT,Wild Hearts,0.507,0.919,-6.844,0.0655,0.0342,6.63e-05,0.586,150.028
23362446,Coloring Book,OH MY GIRL,COLORING BOOK,0.658,0.903,-2.316,0.08,0.0168,0.0,0.527,109.947
532571,"Colors - Coca-Cola® Anthem, 2018 FIFA World CupTM",Jason Derulo,"Colors (Coca-Cola® Anthem, 2018 FIFA World CupTM)",0.707,0.845,-3.478,0.201,0.0278,0.0,0.507,120.125
23362525,Colors Back - Urbandawn Remix,Alex Klingle,Colors Back (Remixes),0.561,0.946,-1.074,0.0932,0.00422,0.00522,0.325,86.974
12365139,Colors Of The Rainbow - DoubKore Remix,Sevenn,Colors Of The Rainbow,0.754,0.5,-8.868,0.0518,0.00953,0.448,0.0854,127.982
7162074,Colour Of My Skin,Johnny Clegg,King Of Time,0.755,0.848,-4.274,0.0408,0.056,0.0,0.897,95.987
12482022,Colourful,Kalpee,Colourful,0.702,0.518,-11.118,0.0663,0.0209,0.000293,0.474,92.972
22725522,Colours (Armin Van Buuren Remix),Emma Hewitt,Burn The Sky Down,0.558,0.885,-7.379,0.0434,0.00422,0.00841,0.291,131.981
17234819,Coltellata (feat. tha Supreme),Gazzelle,OK,0.646,0.653,-5.06,0.0488,0.329,0.000129,0.337,125.991
496916,Com Amor Não Se Brinca - Ao Vivo,Jonas Esticado,Jonas Intense - Ao Vivo Em Maceió,0.493,0.869,-5.304,0.0746,0.414,0.0,0.727,90.759
15252792,"Com Ele é Cinema, Comigo é Cama - Ao Vivo",Os Barões Da Pisadinha,DVD Novo dos Barões da Pisadinha Ao Vivo,0.628,0.946,-2.55,0.0699,0.533,0.0,0.853,171.977
16148536,Com Ou Sem Mim - Ao Vivo,Gustavo Mioto,Gustavo Mioto Ao Vivo Em Fortaleza,0.609,0.72,-3.616,0.0476,0.162,0.0,0.296,141.903
13154232,Com a Casa,Blaumut,Com a Casa,0.534,0.926,-6.216,0.0293,0.0243,0.000102,0.758,94.975
7110348,Comancheria,Los Chikos del Maiz,Comancheria,0.588,0.94,-4.62,0.315,0.37,0.0,0.725,96.965
2164510,Combo,"TPA, SEUNGRI, Al Rocco, Ivy",Combo,0.591,0.966,-3.585,0.15,0.0194,0.0,0.704,149.949
12426801,Combustión,Jósean Log,Háblame de Tú,0.749,0.37,-12.344,0.0486,0.386,1.77e-06,0.237,124.927
23909262,Come & Get Your Love,Redbone,The Best Of Redbone - Come & Get Your Love,0.793,0.481,-14.246,0.0278,0.231,0.00122,0.97,107.744
23819845,Come A Little Bit Closer,Jay & The Americans,Come A Little Bit Closer: The Best Of Jay & The Americans,0.636,0.684,-9.302,0.057,0.52,0.0015,0.881,132.509
484636,Come Again,"Ronnie Flex, Boef",Rémi,0.786,0.65,-5.95,0.185,0.114,0.0,0.488,99.999
482267,Come Alive,"Hugh Jackman, Keala Settle, Daniel Everidge, Zendaya, The Greatest Showman Ensemble",The Greatest Showman (Original Motion Picture Soundtrack),0.702,0.77,-9.411,0.128,0.00558,0.000802,0.235,118.034
11583293,Come As You Are,Nirvana,Nevermind (Remastered),0.5,0.824,-5.846,0.0388,0.00016,0.00161,0.539,120.125
211192,Come Back for Me,Final Thought,Fantasize,0.513,0.805,-6.061,0.0413,0.167,9.94e-06,0.438,153.285
12351620,Come Closer,Jensen & The Flips,B T T R,0.585,0.526,-4.378,0.0361,0.0504,1.72e-06,0.438,123.887
12806449,Come Closer (feat. Leland Whitty of BADBADNOTGOOD & Gene Fisher),Mont Jake,Come Closer (feat. Leland Whitty of BADBADNOTGOOD & Gene Fisher),0.742,0.693,-6.627,0.0666,0.0894,4.99e-06,0.464,95.05
25251535,Come Join the Murder - From Sons of Anarchy,"The White Buffalo, The Forest Rangers",Come Join the Murder (From Sons of Anarchy),0.529,0.445,-7.156,0.0275,0.67,0.032,0.179,124.166
20347870,Come Meh Way,Sudan Archives,Sudan Archives,0.683,0.861,-6.614,0.0975,0.0745,0.000639,0.744,159.989
12588085,Come On Back,Shungudzo,Fifty Shades Freed (Original Motion Picture Soundtrack),0.74,0.599,-6.128,0.385,0.126,0.0,0.747,118.03
