_c0,title,artist,album,af_danceability,af_energy,af_loudness,af_speechiness,af_acousticness,af_instrumentalness,af_valence,af_tempo
164743,"\"20 Questions - From \"\"Bergman’s Reliquary\"\"\"",Veronica Maggio,"\"20 Questions (From \"\"Bergman’s Reliquary\"\")\"",0.646,0.639,-5.394,0.113,0.371,1.05e-05,0.513,110.131
17249997,"\"Aabaad Barbaad (From \"\"Ludo\"\")\"","Pritam, Arijit Singh","\"Aabaad Barbaad (From \"\"Ludo\"\")\"",0.626,0.522,-5.857,0.0317,0.686,0.0,0.628,118.001
4485796,"\"Aankh Marey (From \"\"Simmba\"\")\"","Neha Kakkar, Mika Singh, Kumar Sanu",Frolic Neha Kakkar,0.796,0.978,-1.266,0.0955,0.289,0.00254,0.8,129.998
11872624,"\"Aaraadhike - From \"\"Ambili\"\"\"","Vishnu Vijay, Sooraj Santhosh, Madhuvanthi Narayan","\"Aaraadhike (From \"\"Ambili\"\")\"",0.528,0.172,-14.805,0.0298,0.784,1.06e-05,0.337,105.887
6669784,"\"Aashiq Banaya Aapne (From \"\"Hate Story Iv\"\")\"","Himesh Reshammiya, Neha Kakkar, Tanishk Bagchi","\"Aashiq Banaya Aapne (From \"\"Hate Story Iv\"\")\"",0.573,0.746,-6.108,0.0513,0.142,1.63e-05,0.508,105.064
12411960,"\"Across The Universe - From \"\"Across The Universe\"\" Soundtrack\"",Jim Sturgess,Across The Universe (Deluxe),0.455,0.475,-10.133,0.0334,0.0656,7.16e-05,0.216,75.011
263384,"\"Agar Tum Saath Ho (From \"\"Tamasha\"\")\"","Alka Yagnik, Arijit Singh",Loveholic Arijit Singh,0.562,0.519,-8.744,0.0326,0.557,0.000268,0.415,122.925
13556115,"\"Alasan Terindah (from \"\"Selafaz Cinta\"\" soundtrack)\"",Farisha Iris,"\"Alasan Terindah (from \"\"Selafaz Cinta\"\" soundtrack)\"",0.534,0.397,-7.249,0.0343,0.777,0.0,0.203,135.803
3105490,"\"Alus Dziesma (\"\"Vella Kalpi\"\")\"","Raimonds Pauls, Vīru Vokālais Ansamblis Edgara Račevska Vadībā","Teic, Kur Zeme Tā",0.684,0.419,-7.714,0.0296,0.88,0.756,0.956,96.745
8047715,"\"Awara (From \"\"Dabangg 3\"\")\"","Salman Ali, Muskaan, Sajid-Wajid","\"Awara (From \"\"Dabangg 3\"\")\"",0.696,0.684,-5.389,0.0299,0.816,0.000427,0.629,108.518
14067635,"\"Baby Mine - From \"\"Dumbo\"\"\"",Mariya Takeuchi,"\"Baby Mine (From \"\"Dumbo\"\")\"",0.44,0.338,-7.97,0.0254,0.203,0.0,0.135,71.01
20192679,"\"Bach, JS: Matthäus-Passion, BWV 244, Pt. 1: No. 20, Aria mit Chor. \"\"Ich will bei meinem Jesu wachen\"\"\"","Johann Sebastian Bach, Nikolaus Harnoncourt, Arnold Schönberg Choir, Vienna Boys' Choir, Michael Schade, Concentus Musicus Wien","Bach: St Matthew Passion, BWV 244",0.295,0.0608,-23.057,0.0441,0.988,0.313,0.115,54.113
