_c0,title,artist,album,af_danceability,af_energy,af_loudness,af_speechiness,af_acousticness,af_instrumentalness,af_valence,af_tempo
13535225,"\"\"\"99\"\"\"",Barns Courtney,“99”,0.552,0.804,-4.299,0.0303,0.00598,0.0,0.714,95.98
18742335,"\"\"\"good-morning Hide\"\"\"",L'Arc-en-Ciel,TWENITY 1991-1996,0.45,0.944,-3.287,0.0666,4.25e-05,2.04e-05,0.498,74.978
14602176,"\"\"\"แล้วเขาจะกลับมาไหม?\"\"\"","Lemon Soup, Plastic Plastic",Weekend,0.374,0.549,-6.076,0.0288,0.422,0.000221,0.24,173.9
5464711,"\"A Whole New World - From \"\"Aladdin\"\" / Soundtrack Version\"","Alan Menken, Tim Rice, Lea Salonga, Brad Kane",Disney on CLASSIC ~a Magical Night 2018,0.266,0.285,-12.128,0.0319,0.866,1.29e-06,0.219,62.935
13102074,"\"Accidentally In Love - From \"\"Shrek 2\"\" Soundtrack\"",Counting Crows,Films About Ghosts: The Best Of...,0.555,0.926,-3.613,0.0363,0.0484,7.67e-06,0.771,138.017
20213894,"\"Acábame de Matar (Feat. Luis Angel \"\"El Flaco\"\")\"",Grupo Firme,"\"Acábame de Matar (Feat. Luis Angel \"\"El Flaco\"\")\"",0.527,0.623,-5.014,0.064,0.247,0.0,0.963,134.296
19936348,"\"Adakachakko - From \"\"Ayyappanum Koshiyum\"\"\"","Prithviraj Sukumaran, Biju Menon, Jakes Bejoy","\"Adakachakko (From \"\"Ayyappanum Koshiyum\"\")\"",0.83,0.746,-5.556,0.201,0.389,1.27e-05,0.901,119.991
17197079,"\"Agua (with J Balvin) - Music From \"\"Sponge On The Run\"\" Movie\"",Tainy,"\"Agua (with J Balvin) [Music From \"\"Sponge On The Run\"\" Movie]\"",0.76,0.658,-5.275,0.275,0.162,0.0,0.565,100.202
5067165,"\"Aithey Aa (From \"\"Bharat\"\")\"","AKASA, Neeti Mohan, Kamaal Khan, Vishal-Shekhar","\"Aithey Aa (From \"\"Bharat\"\")\"",0.901,0.75,-4.147,0.201,0.019,6.58e-05,0.42,90.0
14166693,"\"Akale - From \"\"9 (Nine) Malayalam\"\"\"","Shaan Rahman, Harib Hussain, Anne Amie","\"Akale [From \"\"9 (Nine) Malayalam\"\"]\"",0.608,0.64,-8.287,0.0296,0.364,0.0,0.316,115.006
8546527,"\"Ankhiyon Se Goli Mare Returns (From \"\"Pati Patni Aur Woh\"\")\"","Dev Negi, Asees Kaur, Lijo George-Dj Chetas","\"Ankhiyon Se Goli Mare Returns (From \"\"Pati Patni Aur Woh\"\")\"",0.751,0.975,-3.024,0.0941,0.121,2.2e-06,0.818,104.018
11857679,"\"Arike Naam - From \"\"Underworld\"\"\"","Yakzan Gary Pereira, Neha Nair, Ramya Nambessan, Sachin Warrier, Neha S. Nair","\"Arike Naam (From \"\"Underworld\"\")\"",0.551,0.417,-9.85,0.0345,0.702,2.75e-05,0.421,130.079
161225,"\"Audition (The Fools Who Dream) - From \"\"La La Land\"\" Soundtrack\"",Emma Stone,La La Land (Original Motion Picture Soundtrack),0.396,0.153,-11.598,0.0475,0.791,0.0,0.308,127.458
12672785,"\"Ayat Ayat Cinta 2 - From \"\"Ayat Ayat Cinta 2\"\"\"",Krisdayanti,"\"Ayat Ayat Cinta 2 (From \"\"Ayat Ayat Cinta 2\"\")\"",0.379,0.396,-8.539,0.0299,0.946,0.0139,0.349,130.107
24133120,"\"Bach, J.S.: Fugue in G Minor, BWV 578, \"\"Little\"\"\"","Johann Sebastian Bach, The Swingle Singers",Bach/Mozart : The Swingle Singers,0.679,0.355,-15.177,0.0406,0.92,0.946,0.888,118.334
