_c0,title,artist,album,af_danceability,af_energy,af_loudness,af_speechiness,af_acousticness,af_instrumentalness,af_valence,af_tempo
393369,"\"\"\"All That Is or Ever Was or Ever Will Be\"\"\"",Alan Silvestri,Cosmos: A SpaceTime Odyssey (Music from the Original TV Series) Vol. 3,0.292,0.139,-16.134,0.0354,0.981,0.00538,0.0338,73.37
19929067,"\"\"\"Asia\"\" Is Back 藥王回來到 (Asiaboy Solo)\"",Asiaboy 禁藥王 ＆ Lizi 栗子,藥王回來到 'Asia' Is Back,0.904,0.78,-6.433,0.268,0.557,0.00141,0.712,139.972
21240468,"\"\"\"Pa\"\" Los Flamencos\"",El Barrio,Hasta el Fin de los Tiempos,0.75,0.879,-6.611,0.0545,0.108,0.0,0.803,110.002
19494953,"\"14CM. - From \"\"Classic Again จดหมาย สายฝน ร่มวิเศษ\"\"\"",POLYCAT,"\"14CM. (From \"\"Classic Again จดหมาย สายฝน ร่มวิเศษ\"\")\"",0.735,0.715,-5.927,0.0301,0.158,0.000209,0.798,90.021
19217322,"\"A Billion Sorrys - From \"\"High School Musical: The Musical: The Series\"\"\"",Matt Cornett,"\"A Billion Sorrys (From \"\"High School Musical: The Musical: The Series\"\")\"",0.763,0.602,-7.32,0.165,0.103,0.0,0.521,89.94
314229,"\"A Million on My Soul (Radio Edit) - From \"\"Valerian and the City of a Thousand Planets\"\"\"",Alexiane,"\"A Million on My Soul (Radio Edit) [From \"\"Valerian and the City of a Thousand Planets\"\"]\"",0.621,0.871,-4.802,0.0438,0.0553,0.000758,0.518,84.988
14052049,"\"Ain't No Sunshine - Fra TV-Programmet \"\"The Voice\"\"\"",Trina Coleman,"\"Ain't No Sunshine (Fra TV-Programmet \"\"The Voice\"\")\"",0.282,0.56,-6.72,0.037,0.149,0.0,0.295,146.634
355635,"\"Another Day Of Sun - From \"\"La La Land\"\" Soundtrack\"",La La Land Cast,La La Land (Original Motion Picture Soundtrack),0.584,0.752,-6.689,0.058,0.018,3.73e-06,0.791,125.797
14345132,"\"Arreglarlo bailando - From \"\"BIA\"\"\"","Luis Giraldo, Jandino, Guido Messina","\"Arreglarlo bailando (From \"\"BIA\"\")\"",0.687,0.738,-4.591,0.0415,0.0989,0.0,0.808,93.918
14345146,"\"Así yo soy - From \"\"BIA\"\"\"","Isabela Souza, Elenco de BIA","\"Así yo soy (From \"\"BIA\"\")\"",0.764,0.67,-5.502,0.0523,0.0202,0.0,0.421,95.075
