title,artist,album,language_id,scaled_vectorized_features_str
63º3243.7N 19º4346.3W,Sigur Rós,Route One,-2.0,"1.1840004069785244,1.617526548136774,-4.599395943478105,0.769737107112792,3.2484010616316965,4.668700127052682,0.10937110008933207,4.651044714363778,-0.2769906204992498"
7 Aneis (arr. G. Levesque): 7 aneis (arr. G. Levesque for guitar trio),"Egberto Gismonti, Montreal Guitar Trio",Montreal Guitar Trio: Meninas,-2.0,"3.0836054555374757,0.574584057397839,-6.017211179301351,0.5158660295689951,3.4180936544035014,4.321357010379177,0.3154935579499964,3.4604193949986097,-0.2769906204992498"
7 Epta,Tassos Sotirakis,220 Ways to Say I Love You,-2.0,"3.272264861045043,0.608383119597712,-2.8536055038931316,0.9129203948474932,3.3245895726720986,4.643160192003159,1.367138751116651,3.29808200413001,-0.2769906204992498"
834.194,Sakanaction,834.194,-2.0,"2.563165716206256,2.515615915161968,-3.6807335261961023,0.5229744197402214,2.147130765684064,4.43884071160698,0.3916326699352622,4.5337293582129785,-0.2769906204992498"
8普拉斯,馮羿,8普拉斯,16.0,"4.209056391841238,1.3229918632521673,-5.517228743887185,0.3158156204644832,3.0406142133396905,4.663592140042777,2.094877224787976,4.707435597507607,2.215924963993998"
9.13,Khalid,Suncity,-2.0,"1.8800885583340305,2.177625293163239,-4.151679371058008,0.5463305588742507,3.3765362847451,4.811723763330006,2.4818826558733047,4.59357274440643,-0.2769906204992498"
:O :O :O :O,Abudu,Gaisras,-2.0,"1.574330211476939,2.7763515378467014,-3.1320802342371943,1.1068778980909542,3.3419051433630993,4.873019607448859,0.27511038253239684,2.9662580999163204,-0.2769906204992498"
A Bad Comedian,Hildur Guðnadóttir,Joker (Original Motion Picture Soundtrack),-2.0,"0.45668587126314514,0.11733103020813015,-8.427524734096636,0.4640763297500605,1.049323583874631,4.581864347884306,0.14302374627066503,6.246763724884617,-0.2769906204992498"
A Cotswold Symphony,Lillestrøm Musikkorps,Nm Janitsjar 2017 - Elitedivisjon,0.0,"1.3271213352946098,1.2553937388524217,-4.654703735006221,0.40010081820902377,3.2345486050788965,3.800342335368922,0.27721367291873017,3.348195609001799,0.0"
A Fighting Chance,Trevor Kowalski,Degrees Of Separation,0.0,"0.5601232694552251,0.8691187422824457,-5.840779324326662,0.44782858078725757,2.8536060498768845,4.873019607448859,0.1611120435931315,2.4062551305139634,0.0"
A Game of Thrones,BennieNolen,Girl Online,-2.0,"3.591034201385415,0.311434215984543,-8.443287454682148,0.6163989762763387,3.4492616816473025,4.796399802300293,3.6344857875839582,7.324258540280346,-0.2769906204992498"
A Hidden Ace,Léon Branche,A Hidden Ace,-2.0,"1.6393851788933416,0.18492915460787596,-6.980119829805846,0.39806984958867336,3.4215567685417017,4.607404282933828,0.2141149613287309,2.7762309371143874,-0.2769906204992498"
A Hunter Gathers,Junkie XL,Zack Snyders Justice League (Original Motion Picture Soundtrack),0.0,"0.39488365221756283,0.9560306165106903,-4.75453429871447,0.4579834238890095,1.4614341663204433,4.510352529745643,0.14260308819339837,2.2216682755477986,0.0"
A Lamenting Song,Max Richter,Taboo (Music From The Original TV Series),-2.0,"4.098462947233354,0.1376104675280539,-8.183617373457645,0.5879654155914334,3.4180936544035014,4.893451555488477,1.3503124280259846,3.058813080660738,-0.2769906204992498"
