title,artist,album,af_danceability,af_energy,af_loudness,af_speechiness,af_acousticness,af_instrumentalness,af_valence,af_tempo,language_id
Desde Esa Noche (feat. Maluma),Thalia,Latina,0.78,0.929,-0.739,0.0532,0.171,0.0,0.837,95.012,1.0
Dile Que Tu Me Quieres,Ozuna,Dile Que Tu Me Quieres,0.721,0.687,-6.682,0.0782,0.0998,0.0,0.825,175.914,1.0
Don't Let Me Down (feat. Daya),The Chainsmokers,The Chainsmokers- Japan Special Edition,0.542,0.859,-5.651,0.197,0.16,0.00466,0.403,159.797,0.0
Don't Wanna Know,"Maroon 5, Kendrick Lamar",Don't Wanna Know,0.783,0.623,-6.126,0.08,0.338,0.0,0.447,100.048,0.0
Ego,Lali,Soy,0.556,0.756,-3.377,0.0326,0.192,0.0,0.411,89.957,1.0
El Bombón,Los Palmeras,Un Sentimiento,0.74,0.768,-5.037,0.0603,0.199,0.0,0.867,164.145,1.0
El Perdedor,Maluma,"Pretty Boy, Dirty Boy",0.702,0.73,-5.173,0.099,0.425,1.25E-6,0.879,173.967,0.0
El Perdedor (feat. Yandel) - The Remix,Maluma,El Perdedor (feat. Yandel) [The Remix],0.751,0.742,-4.393,0.12,0.367,0.0,0.85,173.941,1.0
El Perdón,"Nicky Jam, Enrique Iglesias",Fénix,0.628,0.69,-5.83,0.0511,0.443,0.0,0.66,179.908,1.0
El Taxi,"\"Pitbull, Sensato, Osmani Garcia \"\"La Voz\"\"\"",Dale,0.869,0.691,-6.872,0.192,0.12,0.0,0.875,95.019,1.0
El chisme,Reykon,El Chisme,0.723,0.929,-3.022,0.106,0.119,0.0,0.812,92.964,1.0
Ella,Agapornis,Ella,0.709,0.79,-6.319,0.0511,0.569,0.0,0.781,97.105,1.0
Encantadora (feat. Farruko & Zion & Lennox) - Remix,"Yandel, Egbert Rosa aka Haze",Encantadora (feat. Farruko & Zion & Lennox) [Remix],0.644,0.895,-3.669,0.0469,0.172,0.0,0.887,169.98,1.0
Era Tranquila,Marama,Era Tranquila,0.775,0.882,-2.803,0.04,0.0922,0.0,0.845,110.025,1.0
Fanática Sensual,Plan B,Love and Sex,0.793,0.853,-3.655,0.0477,0.0937,0.0,0.906,164.022,1.0
Fuego,Juanes,Mis Planes Son Amarte,0.745,0.66,-5.461,0.0878,0.0575,0.0,0.934,95.154,1.0
Fuiste,Gilda,Corazón Valiente,0.841,0.902,-5.114,0.0308,0.534,1.53E-4,0.942,98.044,1.0
Ginza,J Balvin,Energía,0.763,0.812,-6.469,0.0792,0.187,8.48E-4,0.828,101.95,1.0
Gyal You A Party Animal,Charly Black,Gyal You A Party Animal,0.599,0.838,-5.16,0.0996,0.0272,0.0,0.847,128.854,0.0
Gyal You A Party Animal - Remix,"Charly Black, Daddy Yankee",Gyal You A Party Animal (Remix),0.723,0.889,-4.017,0.0939,0.0673,0.0,0.701,101.032,0.0
Hasta Que Se Seque el Malecón (feat. Farruko) - Remix,Jacob Forever,Invicto,0.785,0.838,-5.951,0.0381,0.362,6.43E-6,0.765,100.066,1.0
Hasta el Amanecer,Nicky Jam,Fénix,0.832,0.608,-6.042,0.0385,0.282,0.0,0.589,94.013,1.0
Hasta la luna,#TocoParaVos,#Tocoparavos,0.837,0.605,-6.122,0.0798,0.0124,0.0,0.723,107.998,1.0
Heathens,Twenty One Pilots,Heathens,0.732,0.396,-9.348,0.0286,0.0841,3.58E-5,0.548,90.024,0.0
Hello,"KAROL G, Ozuna",Hello,0.806,0.82,-4.304,0.0617,0.449,1.97E-5,0.845,94.985,1.0
Hola,Joey Montana,Picky Back To The Roots,0.639,0.828,-3.071,0.0775,0.0545,0.0,0.952,178.033,0.0
